,Attribution,Change_percent,Change_percent_20_days,Change_percent_251_days,Change_percent_5_days,Company Name,Market Cap,Price,Sector,Summary
CWK,,-0.6,7.181136120042872,27.81167748146091,1.1122345803842264,Cranswick plc,$2.7B,5000.0,Consumer Defensive,"Cranswick plc is a UK-based food producer, manufacturing and supplying premium food products like fresh pork and chicken to retailers and the food service sector.
"
JII,,-0.6,-2.152641878669276,7.991360691144708,-0.9900990099009901,JPMorgan Indian Ord,$685.5M,1000.0,,"JPMorgan Indian Investment Trust plc aims to achieve capital growth by investing in a diversified portfolio of quoted Indian companies, seeking to outperform the MSCI India Index.
"
WPS,,-0.6,-18.780487804878053,-21.462266977336565,-8.264460881855047,W.A.G payment solutions plc,$499.6M,66.6,Technology,"W.A.G Payment Solutions PLC (Eurowag) is a pan-European platform providing integrated payment and mobility solutions for the commercial road transport industry, including energy, toll payments, and related services.
"
DLG,,-0.6,3.846152602381063,64.09156365380261,-0.3014295082449696,Direct Line Insurance Group plc,$3.5B,264.6,Financial Services,"Direct Line Insurance Group is a UK-based company offering a range of general insurance products, including motor, home, and commercial, through brands like Direct Line and Churchill.
"
BBY,,-0.59,9.915411957541275,52.29566014800494,2.3632385120350134,Balfour Beatty plc,$2.3B,467.8,Industrials,"Balfour Beatty PLC is an international infrastructure group based in the UK, with capabilities in construction, support services and infrastructure investments.
"
BRWM,,-0.59,2.834008097165992,7.914353074738309,3.991811668372569,BlackRock World Mining Trust Ord,$965.7M,508.0,,"BlackRock World Mining Trust aims to provide a diversified investment in mining and metal assets worldwide, actively managed to maximize total returns, including royalties and physical metals.
"
SRE,,-0.57,6.173681465622278,0.2955262887947317,1.8217326658117643,Sirius Real Estate Limited,$1.2B,78.25,Real Estate,"Sirius Real Estate Limited is a property company that owns and operates branded business and industrial parks providing conventional space and flexible workspace in Germany and the United Kingdom.
"
HMSO,,-0.55,5.454545454545454,12.75104398345763,3.349962114048081,Hammerson Plc,$1.4B,290.0,Real Estate,"Hammerson PLC is a real estate investment trust that owns, operates, and develops prime urban properties, including shopping centers and retail villages, in the UK, Ireland, and France.
"
FSV,,-0.52,7.147540983606561,24.618268500756656,2.605965463108324,Fidelity Special Values Ord,$1.1B,326.8,,"Fidelity Special Values Ord is a British investment trust that invests in undervalued UK-listed companies, aiming for long-term capital growth.
"
ELM,,-0.51,16.22418355917315,17.035201867400932,1.9404875666535624,Elementis plc,$930.2M,157.6,Basic Materials,"Elementis plc is a UK-based specialty chemicals company manufacturing additives and chemicals for consumer and industrial applications.
"
THRG,,-0.5,6.630824372759856,0.9931819490931573,1.1904761904761905,BlackRock Throgmorton Trust Ord,$507.6M,595.0,,"BlackRock Throgmorton Trust plc invests primarily in UK smaller and mid-capitalization companies traded on the London Stock Exchange, seeking long-term capital growth and an attractive total return for shareholders.
"
RWI,,-0.5,0.12484394506866417,44.79541316986912,0.12484394506866417,Renewi plc,$639.7M,802.0,Industrials,"Renewi plc is a waste-to-product company focused on extracting value from waste and used materials through recycling and treatment services, primarily in the Benelux region.
"
FGP,,-0.5,2.616466580476099,5.860430074150203,-1.8913935399181598,FirstGroup plc,$966.4M,160.8,Industrials,"FirstGroup plc is a British transport group operating bus and rail services in the UK and Republic of Ireland.
"
BNKR,,-0.48,7.4099205150791505,21.130504122922904,1.1308537267619334,Bankers Ord,$1.4B,125.2,,"Bankers Investment Trust aims for capital growth exceeding the FTSE World Index and dividend growth greater than UK CPI by investing in global companies.
"
CRST,,-0.47,6.335403726708068,-14.27757583175619,5.03067484662576,Crest Nicholson Holdings plc,$443.7M,171.2,Consumer Cyclical,"Crest Nicholson Holdings plc is a UK-based residential housebuilder focused on creating well-designed, high-quality homes.
"
HAS,,-0.46,3.660218809766,-19.346894521031686,-0.06657586569502488,Hays plc,$1.2B,75.05,Industrials,"Hays plc is a global recruitment company placing candidates in permanent, temporary, and contractual roles across various sectors.
"
APAX,,-0.45,-6.232292590960806,-6.6142748872252906,-1.4880907643677244,Apax Global Alpha Ord,$672.0M,132.4,,"Apax Global Alpha is a closed-ended investment company that invests in private equity through Apax Funds and derived investments in equities and debt, aiming for long-term capital appreciation and dividends.
"
BREE,,-0.45,9.900990099009901,24.66187514903696,2.6589595375722546,Breedon Group plc,$1.5B,444.0,Basic Materials,"Breedon Group PLC supplies the construction industry with essential materials like aggregates, asphalt, ready-mix concrete, and cement in Great Britain, Ireland, and the USA.
"
CCC,,-0.45,9.58498023715415,-21.8909671797601,-2.4626209322779244,Computacenter plc,$2.4B,2218.0,Technology,"Computacenter plc is a UK-based IT services provider that helps clients source, transform, and manage digital technology.
"
BRSC,,-0.45,2.923076923076923,3.2431232372512935,-0.1492537313432836,BlackRock Smaller Companies Ord,$627.4M,1338.0,,"BlackRock Smaller Companies Trust PLC invests in smaller UK companies listed on the London Stock Exchange to achieve long-term capital growth for shareholders.
"
SUPR,,-0.43,5.98259533746591,0.29159911386281523,4.511278195488721,Supermarket Income REIT Ord,$885.4M,69.5,,"Supermarket Income REIT invests in omnichannel supermarket properties in the UK, focusing on stores that serve both in-person and online shoppers, and aims to provide shareholders with income and capital growth.
"
BYG,,-0.42,6.299212598425196,-6.76831285528184,-0.10570824524312897,Big Yellow Group Plc,$1.9B,945.0,Real Estate,"Big Yellow Group PLC is a UK-based company that acquires, owns, and manages self-storage facilities.
"
FCSS,,-0.41,10.804597701149426,33.758039027711675,3.2119914346895073,Fidelity China Special Ord,$1.2B,241.0,,"Fidelity China Special Ord is a UK investment company aiming for long-term capital growth by investing in securities of Chinese companies, both listed and unlisted, and those with significant Chinese interests.
"
CCR,,-0.4,6.142857142857139,2.0162270194654845,3.4818897520659364,C&C Group plc,$549.7M,148.6,Consumer Defensive,"C&C Group plc is a premium drinks company that manufactures, markets, and distributes branded beer, cider, wine, spirits, and soft drinks across the UK and Ireland, with a presence in Europe, Asia-Pacific, North America, and Australia.
"
PPH,,-0.38,3.543307086614173,9.397498694793258,-3.308823529411765,PPHE Hotel Group Limited,$574.6M,1315.0,Consumer Cyclical,"PPHE Hotel Group is an international hospitality real estate company that owns, operates, develops, and franchises hotels and resorts primarily in Europe.
"
SDP,,-0.37,2.0599250936329585,17.301670626081485,1.6791044776119404,Schroder AsiaPacific Ord,$765.8M,545.0,,"Schroder AsiaPacific Ord is a UK-based investment trust focused on achieving capital growth by investing in equities of companies located in Asia (excluding the Middle East and Japan) and countries bordering the Pacific Ocean.
"
SOI,,-0.36,0.9048143300170284,18.13479512028748,1.090909090909091,Schroder Oriental Income Ord,$644.9M,278.0,,"Schroder Oriental Income Ord aims to provide total return by investing in Asia Pacific (including Australia and New Zealand) companies with attractive yields and growing dividends.
"
USA,,-0.35,2.8745247148288984,44.37567172464871,3.6628352490421463,Baillie Gifford US Growth Ord,$761.3M,270.56,,"Baillie Gifford US Growth Ord is a UK investment company focused on achieving long-term capital growth by investing in listed and unlisted US companies with high growth potential.
"
PHI,,-0.34,1.8998272884283247,6.600488353253509,1.7241379310344827,Pacific Horizon Ord,$525.8M,590.0,,"Pacific Horizon Ord is a UK investment company focused on achieving capital growth by investing in companies listed in the Asia-Pacific region (excluding Japan) and the Indian Sub-continent.
"
JAM,,-0.34,1.7513134851138354,25.855150224309664,0.6932409012131715,JPMorgan American Ord,$2.1B,1162.0,,"JPMorgan American Ord aims to achieve capital growth from North American investments by outperforming the S&P 500 index, investing predominantly in quoted companies.
"
TEP,,-0.34,5.86080586080586,28.307426332376178,4.081632653061225,Telecom Plus Plc,$1.4B,1734.0,Utilities,"Telecom Plus Plc is a UK-based multi-utility provider offering bundled household services like energy, broadband, mobile, and insurance under the Utility Warehouse brand.
"
ZIG,,-0.32,5.922165820642978,-1.0513956816764292,1.6233766233766231,Zigup Plc,$699.9M,313.0,Industrials,"Zigup Plc is an integrated mobility solutions platform offering vehicle rental, fleet management, accident management, and repair services across the UK, Ireland, and Spain.
"
MGNS,,-0.27,3.932584269662921,76.482520949963,1.9283746556473829,Morgan Sindall Group plc,$1.7B,3700.0,Industrials,"Morgan Sindall Group PLC is a UK-based construction and regeneration company operating in both the public and commercial sectors through six divisions.
"
TEM,,-0.23,4.111249307404085,19.648069068131107,1.7730514810088878,Templeton Emerging Mkts Invmt Tr TEMIT,$1.8B,172.2,,"Templeton Emerging Markets Investment Trust (TEMIT) aims to achieve long-term capital growth by investing in emerging market companies or those with significant emerging market revenues.
"
TATE,,-0.23,3.100158982511924,8.353533785728287,0.46475600309837334,Tate & Lyle plc,$2.9B,648.5,Consumer Defensive,"Tate & Lyle is a global provider of specialty food and beverage solutions, offering ingredients like sweeteners, texturants, and fiber enrichments.
"
SPI,,-0.22,0.6578947368421052,-2.59946949602122,0.437636761487965,Spire Healthcare Group plc,$927.4M,229.5,Healthcare,"Spire Healthcare Group plc owns and operates private hospitals and clinics in the UK, providing a range of integrated surgical, medical, and diagnostic healthcare services.
"
IWG,,-0.21,21.456187955250456,-1.4190869998460662,10.362995686176028,International Workplace Group plc,$1.8B,188.5,Real Estate,"International Workplace Group (IWG) provides flexible workspace solutions globally, operating a network of business centers with brands like Regus and Spaces.
"
PNL,,-0.2,1.996007984031936,9.98873867364382,0.3929273084479371,Personal Assets Ord,$1.6B,511.0,,"Personal Assets Trust PLC aims to protect and increase shareholders' funds over the long term by investing in equities, fixed income, cash, and gold.
"
SVS,,-0.18,13.270637408568442,15.12948866454376,4.633204633204633,Savills plc,$1.5B,1084.0,Real Estate,"Savills plc is a global real estate services provider offering advisory, management, and transactional services across various property segments.
"
MGAM,,-0.18,8.183632734530939,5.585411540556936,1.3084112149532712,Morgan Advanced Materials plc,$761.7M,271.0,Industrials,"Morgan Advanced Materials manufactures specialist products using advanced ceramics, carbon, and composites for various industries.
"
SAIN,,-0.17,4.755287009063447,6.8239041595220264,1.1887159533073957,Scottish American Ord,$918.6M,520.11,,"Scottish American Ord is a UK-based investment trust aiming to grow dividends faster than inflation through global equities, bonds, property, and other assets.
"
BAG,,-0.16,13.440860215053762,23.072497635223055,3.0944625407166124,A.G. BARR p.l.c.,$693.0M,633.0,Consumer Defensive,"A.G. Barr p.l.c. is a UK-based multi-beverage business that manufactures, distributes, and sells a range of soft drinks and other beverages.
"
MYI,,-0.14,5.0990291262135905,17.904447979271797,2.124528301886791,Murray International Ord,$1.6B,270.63,,"Murray International Trust PLC is a UK investment trust aiming for above-average dividend yield and long-term growth by investing in global equities and fixed income securities.
"
BCG,,-0.14,6.821705426356589,50.478522746351516,0.8784773060029283,Baltic Classifieds Group PLC,$1.6B,344.5,Communication Services,"Baltic Classifieds Group PLC operates online classifieds portals for automotive, real estate, jobs & services, and general items in the Baltics.
"
TRST,,-0.14,29.92565055762082,81.46416870420879,3.2496307237813884,Trustpilot Group plc,$1.5B,349.5,Technology,"Trustpilot Group plc operates a global online platform where consumers can review businesses and businesses can improve their service.
"
RHIM,,-0.14,12.59600614439324,8.787290679883608,6.078147612156296,RHI Magnesita N.V.,$1.7B,3665.0,Industrials,"RHI Magnesita N.V. is a global supplier of refractory products, systems, and services essential for high-temperature industrial processes.
"
IEM,,-0.13,2.3675485152768423,4.293681161578351,0.05270341950731501,Impax Environmental Markets Ord,$941.1M,395.0,,"Impax Environmental Markets invests in companies providing, utilizing, or advising on technology-based systems, products, or services in environmental markets, like alternative energy and pollution control.
"
FEV,,-0.13,8.228730822873082,9.123440017351284,1.837270341207349,Fidelity European Trust Ord,$1.6B,388.0,,"Fidelity European Trust PLC aims for long-term capital and income growth by primarily investing in continental European equities.
"
MRCH,,-0.12,5.246998952252663,11.25177544027236,1.9700857542918842,Merchants Trust Ord,$819.8M,549.34,,"Merchants Trust Ord is a UK investment company aiming to provide above-average income and long-term capital growth by investing mainly in higher-yielding large UK companies.
"
SSON,,-0.11,6.6710526315789425,9.710113960113954,0.021428571428566703,Smithson Investment Trust Ord,$2.0B,1540.33,,"Smithson Investment Trust invests in shares of small and mid-sized listed companies globally, aiming for long-term growth.
"
FUTR,,-0.11,6.347532194812905,33.0090974093077,0.85515766969535,Future plc,$1.0B,943.5,Communication Services,"Future plc is a specialist media company operating a global platform for creating and distributing content.
"
SPT,,-0.11,6.084961674773891,62.3901538174392,-0.10810810810810198,Spirent Communications plc,$1.1B,184.8,Technology,"Spirent Communications provides automated test and assurance solutions for networks, cybersecurity, and positioning technologies like 5G and the Internet of Things.
"
LWDB,,-0.11,4.100227790432802,24.06184859658278,1.7817371937639197,Law Debenture Corporation Ord,$1.2B,914.0,,"Law Debenture Corporation is a UK investment trust providing diversified investments and independent professional services like pension trusteeship and corporate secretarial services.
"
RCP,,-0.1,-0.5050505050505051,9.705755972427,0.0,RIT Capital Partners Ord,$2.8B,1970.0,,"RIT Capital Partners is a large British investment trust that invests in quoted securities and special situations, aiming to grow shareholders' wealth through a diversified, global portfolio.
"
JFJ,,-0.1,7.407871198568867,18.695736096327607,2.1105442176870692,JPMorgan Japanese Ord,$983.7M,600.41,,"JPMorgan Japanese Ord is a UK-based investment trust seeking capital growth by investing in a portfolio of Japanese companies.
"
PLUS,,-0.07,6.1390532544378695,62.567599822877604,0.7017543859649122,Plus500 Ltd.,$2.1B,2870.0,Financial Services,"Plus500 is a global fintech group operating technology-based trading platforms, offering online trading services in CFDs, share dealing, and futures.
"
IDS,,-0.05,0.2745710487237136,40.211665963472406,0.05479452054794209,International Distribution Services plc,$3.5B,365.2,Industrials,"International Distribution Services PLC provides postal and delivery services through its Royal Mail and GLS operations.
"
BME,,-0.03,5.855307160281505,-31.293140466966623,0.063191153238543,B&M European Value Retail S.A.,$3.2B,316.7,Consumer Defensive,"B&M European Value Retail S.A. operates discount retail stores, offering a variety of merchandise including food, home goods, and DIY products, through its B&M, Heron Foods, and B&M Express chains in the UK and France.
"
PAY,,0.0,4.675716440422323,41.16854522103553,1.908957415565345,PayPoint plc,$503.1M,694.0,Technology,"PayPoint PLC is a UK-based company providing multichannel payment solutions and retail services through its network of retail locations and digital platforms.
"
PHLL,,0.0,6.746031746031746,77.13215494304983,0.3731343283582089,Petershill Partners Ord,$2.9B,269.0,,"Petershill Partners is a global alternatives investment group making minority investments in private equity and other private capital firms.
"
IHP,,0.0,6.983655274888559,36.59669902426959,-0.8264462809917356,IntegraFin Holdings plc,$1.2B,360.0,Financial Services,"IntegraFin Holdings plc operates Transact, a UK investment platform providing financial planning infrastructure to financial advisors and their clients.
"
ATT,,0.0,8.904933814681106,35.88588588588589,3.784403669724771,Allianz Technology Trust Ord,$1.7B,452.5,,"Allianz Technology Trust is a UK investment trust aiming for long-term capital growth by investing in quoted technology companies worldwide.
"
DIG,,0.0,7.632133503980976,9.216984309901605,0.4313933313364238,Dunedin Income Growth Ord,$384.9M,282.0,,"Dunedin Income Growth aims to achieve income and capital growth by investing mainly in UK-listed companies that meet its sustainable and responsible investing criteria.
"
AGT,,0.0,1.0373443983402488,8.735296253984902,0.205761316872428,AVI Global Trust Ord,$1.1B,243.5,,"AVI Global Trust is a UK-based investment trust aiming for capital growth by investing in undervalued companies, particularly those with share prices discounted to net asset value.
"
FAN,,0.0,5.325443786982249,28.853746558129178,1.1363636363636365,Volution Group plc,$1.1B,534.0,Industrials,"Volution Group plc is a leading supplier of ventilation products for residential and commercial buildings.
"
BGFD,,0.0,10.256410256410255,5.945637054024588,1.7082785808147174,Baillie Gifford Japan Ord,$635.7M,774.0,,"Baillie Gifford Japan Ord aims for long-term capital growth by investing in medium to smaller-sized Japanese companies.
"
BBH,,0.0,-0.8230473433747644,-0.1718814489516434,-1.3642605867992992,Bellevue Healthcare Ord,$369.5M,144.6,,"Bellevue Healthcare Trust is a UK-based investment trust focused on investing in listed global healthcare companies, aiming for long-term capital growth and income for its shareholders.
"
VSVS,,0.0,3.929024081115336,-9.279037753627621,0.7371007371007371,Vesuvius plc,$1.0B,410.0,Basic Materials,"Vesuvius plc is a UK-based company providing molten metal flow engineering and technology, serving industries like steel, foundries, glass, and solar energy.
"
BPT,,0.0,16.03995507712009,51.70174786776073,5.3895445210604676,Bridgepoint Group plc,$3.1B,395.0,Financial Services,"Bridgepoint Group plc is a UK-based private equity and credit fund manager focused on investing in middle-market businesses.
"
INPP,,0.0,6.866198618528863,4.403165870702368,7.624110563451067,International Public Partnerships Ord,$2.3B,121.4,,"International Public Partnerships invests in public and social infrastructure assets globally, including the UK, Europe, Australia, and North America.
"
COA,,0.0,1.1111111111111112,34.33679752382124,-0.3285904071522772,Coats Group plc,$1.5B,91.0,Consumer Cyclical,"Coats Group plc is a global leader in industrial thread and structural components for apparel, footwear, and performance materials.
"
CKN,,0.0,4.898446833930705,29.51543569990752,1.3856812933025404,Clarkson PLC,$1.3B,4390.0,Industrials,"Clarkson PLC provides integrated shipping services and investment banking to the shipping and offshore markets, facilitating global trade.
"
EDIN,,0.0,6.153749970444316,21.880430101210855,1.9867549668874174,Edinburgh Investment Ord,$1.1B,770.0,,"Edinburgh Investment Trust aims to increase net asset value per share and dividends by investing primarily in UK securities, with up to 20% in international stocks.
"
ICGT,,0.0,2.65625,15.64763953625291,0.0,ICG Enterprise Trust Ord,$847.6M,1314.0,,"ICG Enterprise Trust is a UK-based investment company that invests in private equity funds and directly in private companies, seeking long-term growth.
"
ESP,,0.0,3.7037037037037033,-2.9698926848166525,1.5719505438088706,Empiric Student Property Plc,$561.1M,84.0,Real Estate,"Empiric Student Property Plc is a UK-based real estate investment trust that owns, operates, and develops modern, direct-let, premium student accommodation, primarily studio-led, in key university cities.
"
HGT,,0.0,1.5655577299412915,28.362400802059707,0.5813953488372093,HgCapital Trust Ord,$2.4B,519.0,,"HgCapital Trust invests in unquoted software and service companies, aiming for long-term returns exceeding the FTSE All-Share Index.
"
SNR,,0.0,-0.4981357864955281,3.1393779956517203,-0.1249999999999929,Senior plc,$663.6M,159.8,Industrials,"Senior plc designs and manufactures high-technology components and systems for the aerospace, defense, land vehicle, and power & energy markets.
"
SXS,,0.07,19.81279251170047,-12.075740469919777,2.6052104208416833,Spectris plc,$3.0B,3072.0,Technology,"Spectris plc provides high-tech instruments, test equipment, and software for technically demanding industrial applications, offering precision measurement solutions.
"
DNLM,,0.1,-2.3115577889447234,-2.834657852753205,-0.967906265919511,Dunelm Group plc,$2.0B,972.0,Consumer Cyclical,"Dunelm Group plc is a UK-based homewares retailer offering a wide range of furniture, home furnishings and related services through its stores and online platform.
"
CGT,,0.1,2.094240837696335,9.527703466029628,0.9316770186335404,Capital Gearing Ord,$912.8M,4875.0,,"Capital Gearing Trust is a UK investment trust aiming to preserve and grow shareholders' wealth through diverse asset allocations, including bonds, equities, and gold.
"
MONY,,0.11,0.9661819209643852,-20.149987407773605,-2.3871287084024804,MONY Group plc,$1.0B,188.1,Communication Services,"MONY Group PLC operates a tech-led savings platform with brands like MoneySuperMarket and MoneySavingExpert, helping households save money by comparing prices and offering financial tools.
"
FGT,,0.11,6.599552572706935,15.109397022185794,-0.3138075313807531,Finsbury Growth & Income Ord,$1.4B,953.0,,"Finsbury Growth & Income Trust PLC invests mainly in UK-listed companies to achieve capital and income growth, aiming to surpass the FTSE All-Share Index.
"
AGR,,0.11,7.017543397578348,-2.0681062391108975,2.6601515834773086,Assura Plc,$1.2B,37.82,Real Estate,"Assura PLC is a UK-based healthcare property investor and developer, specialising in primary care buildings.
"
GSCT,,0.12,2.1303219088094263,15.671709831453434,0.7416544657655683,The Global Smaller Companies Trust Ord,$748.4M,163.0,,"The Global Smaller Companies Trust aims to achieve high total returns by investing in smaller companies worldwide, diversifying its portfolio across sectors and markets.
"
HBR,,0.13,-13.544670488766048,-2.381652966125863,3.004291845493562,Harbour Energy plc,$3.3B,240.0,Energy,"Harbour Energy PLC is an independent oil and gas company involved in the acquisition, exploration, development, and production of oil and gas reserves, primarily in the North Sea and Southeast Asia.
"
NESF,,0.14,13.387096774193544,1.896699335585275,7.9877137446416935,NextEnergy Solar Ord,$401.6M,70.3,,"NextEnergy Solar Fund is a specialist investment company focused on solar energy and energy storage assets, primarily utility-scale, and is listed on the London Stock Exchange.
"
MNKS,,0.15,6.8580542264752795,24.535711579154682,1.2084592145015105,Monks Ord,$2.6B,1340.0,,"Monks Investment Trust PLC invests globally in quoted equities, prioritizing capital growth over income.
"
SMWH,,0.16,13.309677970875002,4.865753703026748,-0.07836990595611285,WH Smith PLC,$1.6B,1275.0,Consumer Cyclical,"WH Smith PLC is a global retailer of news, books, and convenience products, operating through Travel and High Street divisions.
"
PHP,,0.16,6.065854145727333,8.718720487829733,1.3245050177585498,Primary Health Properties Plc,$1.2B,91.8,Real Estate,"Primary Health Properties PLC is a UK-based real estate investment trust that invests in modern primary healthcare properties, leasing them to GPs, government healthcare bodies, and pharmacies in the UK and Ireland.
"
3IN,,0.16,3.870967741935484,2.400347827268435,2.0602218700475436,3i Infrastructure Ord,$3.0B,322.0,,"3i Infrastructure is a listed investment company that invests in infrastructure businesses, mainly in Europe and Asia, focusing on utilities, transportation and social infrastructure.
"
TMPL,,0.17,7.861423220973786,32.53438362497803,4.155515370705247,Temple Bar Ord,$812.2M,287.99,,"Temple Bar Ord is a UK-based investment company focused on providing investors with growing income and capital growth through investments primarily in UK equities, particularly FTSE 350 companies.
"
SAFE,,0.17,-6.6045066045066045,-22.80358565493426,-1.4754098360655739,Safestore Holdings Plc,$1.3B,601.0,Real Estate,"Safestore Holdings PLC is the UK's largest self-storage company, providing storage solutions for personal and business customers in the UK, Paris, and other European locations, and also sells insurance and merchandise.
"
TFIF,,0.18,3.947599029970314,13.879658152052363,1.6574599918690096,TwentyFour Income Ord,$814.3M,110.4,,"TwentyFour Income Fund is a London-listed investment company that invests in less liquid, higher-yielding UK and European asset-backed securities, aiming for attractive risk-adjusted returns through income distribution.
"
SCT,,0.18,11.36986301369863,8.670757153402391,1.4348097317529631,Softcat plc,$3.2B,1626.0,Technology,"Softcat plc is a UK-based IT infrastructure and services provider, offering solutions like software licensing, workplace technology, and cloud services to businesses and public sector organizations.
"
FEML,,0.19,4.514641967133279,15.407626917466347,2.4893917963224923,Fidelity Emerging Markets Ord,$492.0M,724.6,,"Fidelity Emerging Markets Ord aims for long-term growth by investing primarily in emerging market companies.
"
SEIT,,0.2,-4.690430155432818,-2.209733369472226,-0.3921568627451036,SDCL Energy Efficiency Income Ord,$579.7M,50.8,,"SDCL Energy Efficiency Income Trust (SEEIT) invests in energy efficiency projects, providing decentralized energy services directly to end users, aiming for stable income, capital preservation, and growth.
"
KIE,,0.2,16.666666666666664,23.361566053596516,1.2785961093169997,Kier Group plc,$678.2M,150.5,Industrials,"Kier Group PLC is a British infrastructure, construction, services, and property group.
"
DOM,,0.21,6.2499952870748,-16.11824559044354,0.6194060078041327,Domino's Pizza Group plc,$1.1B,292.4,Consumer Cyclical,"Domino's Pizza Group plc operates and franchises Domino's pizza delivery stores in the United Kingdom and the Republic of Ireland.
"
HRI,,0.23,-4.991983967935879,16.1985294117647,2.616883116883109,Herald Ord,$1.2B,2370.45,,"Herald Ord is a UK-based investment trust focused on achieving capital appreciation through investments in smaller technology and communications companies worldwide.
"
CTY,,0.23,5.136545809540795,18.904516924046927,1.9607843137254901,City of London Ord,$2.2B,442.0,,"City of London Investment Trust PLC aims for long-term growth in income and capital by investing in equities listed on the London Stock Exchange.
"
RAT,,0.23,7.002457002457002,14.280945965609359,3.1990521327014214,Rathbones Group Plc,$1.8B,1742.0,Financial Services,"Rathbones Group Plc is a UK-based firm providing investment and wealth management services to private clients, charities, trustees, and professional partners.
"
BSIF,,0.24,-1.3207963963957348,-9.418633178342972,3.6556395421057055,Bluefield Solar Income Fund,$477.2M,82.0,,"Bluefield Solar Income Fund is a UK investment trust focused on acquiring and managing a diversified portfolio of renewable energy assets, primarily solar, in the UK to provide stable income to investors.
"
UKW,,0.25,-4.035513691930467,-1.663314837698783,0.08417251319314135,Greencoat UK Wind,$2.7B,118.9,,"Greencoat UK Wind is a British investment company that invests solely in UK wind farms, providing investors with annual dividends that increase with RPI inflation.
"
BBGI,,0.28,19.532551212150263,24.047072234289452,18.543043362875334,BBGI Global Infrastructure Ord,$1.0B,143.2,,"BBGI Global Infrastructure invests in operational public-private partnership infrastructure assets, delivering long-term, sustainable returns and serving a social purpose.
"
OSB,,0.28,15.901639344262291,10.116589729998516,4.226044226044223,OSB Group Plc,$1.5B,424.2,Financial Services,"OSB Group PLC is a UK-based specialist mortgage lender focused on selected sub-segments of the UK mortgage market, operating through OneSavings Bank and Charter Court Financial Services.
"
OXIG,,0.3,1.1224489795918366,-5.225199352545659,-4.251207729468599,Oxford Instruments plc,$1.2B,1982.0,Technology,"Oxford Instruments plc provides high-tech products and services for imaging, analyzing, and manipulating materials at the atomic level for industry and research.
"
BOY,,0.31,5.169628432956381,10.307887294665532,2.037617554858934,Bodycote plc,$1.2B,651.0,Industrials,"Bodycote PLC is a global provider of heat treatment and thermal processing services that improve the properties of metals and alloys.
"
BRGE,,0.33,8.586762075134168,2.4449040317610384,2.707275803722504,BlackRock Greater Europe Ord,$586.5M,607.0,,"BlackRock Greater Europe Ord is a UK investment trust focused on achieving capital growth through a portfolio of European companies, including large, mid, and small capitalization businesses.
"
MTO,,0.34,8.905377250901342,17.848639787913314,0.8591052070551497,Mitie Group plc,$1.4B,117.4,Industrials,"Mitie Group PLC is a British strategic outsourcing and energy services company, providing facilities and property management, infrastructure consultancy, and technical services.
"
AML,,0.35,12.055339347487726,-35.604772248934005,8.620688067605208,Aston Martin Lagonda Global Holdings plc,$982.7M,113.4,Consumer Cyclical,"Aston Martin Lagonda Global Holdings plc designs, develops, manufactures, and markets luxury vehicles and related parts, offering servicing and consulting.
"
SHED,,0.36,10.276683167368862,-3.871659550507974,4.690433018245055,Urban Logistics REIT Ord,$520.4M,111.6,,"Urban Logistics REIT is a UK property investment company focusing on strategically located, single-let logistics properties, particularly ""last mile"" assets, that support the distribution of essential goods.
"
HSL,,0.37,7.268970570151326,7.90694569661233,1.8123638938509812,Henderson Smaller Companies Ord,$598.9M,813.0,,"Henderson Smaller Companies Ord is a UK investment company focused on maximizing shareholder returns by investing primarily in smaller, quoted UK companies.
"
SEQI,,0.39,-0.08224105546528221,5.508053057640943,-0.3860964736485342,Sequoia Economic Infrastructure Inc Ord,$1.2B,77.4,,"Sequoia Economic Infrastructure Income Fund invests in a diversified portfolio of senior and subordinated economic infrastructure debt instruments.
"
ENOG,,0.4,-3.8314176245210727,19.673965456681458,3.9337474120082816,Energean plc,$1.8B,1004.0,Energy,"Energean plc is an exploration and production company focused on natural gas in the Mediterranean and UK North Sea.
"
ALPH,,0.4,16.055045871559635,50.100772043708034,1.2,Alpha Group International plc,$1.1B,2530.0,Financial Services,"Alpha Group International PLC is a UK-based financial services business providing FX risk management and alternative banking solutions to international corporates and institutions.
"
SSPG,,0.4,5.486562734324675,-19.338868594850446,-0.50704225352113,SSP Group plc,$1.5B,176.6,Consumer Cyclical,"SSP Group plc operates food and beverage outlets in travel locations like airports and train stations worldwide.
"
TIFS,,0.41,1.0319901531209281,34.42831386706086,0.513345447934363,TI Fluid Systems plc,$959.4M,195.8,Consumer Cyclical,"TI Fluid Systems develops, manufactures, and supplies automotive fluid storage, carrying, delivery, and thermal management systems for all vehicle types.
"
ROO,,0.43,8.009326133463382,15.365447042909455,2.4336237079260896,Deliveroo plc,$2.0B,138.9,Consumer Cyclical,"Deliveroo is a UK-based online food delivery platform connecting consumers, riders, and restaurants.
"
VOF,,0.44,-2.0342612419700217,5.383667899053995,-0.32679738562091504,VinaCapital Vietnam Opp Fund Ord,$658.9M,457.5,,"VinaCapital Vietnam Opp Fund Ord aims for medium to long-term returns by investing in Vietnam-based assets or companies with a majority of their operations in Vietnam.
"
