Ticker,Company Name,Sector,Market Cap,Summary
PAY,PayPoint plc,Technology,$503.1M,"PayPoint PLC is a UK-based company providing multichannel payment solutions and retail services through its network of retail locations and digital platforms.
"
PNN,Pennon Group Plc,Utilities,$2.2B,"Pennon Group PLC is an environmental infrastructure company providing clean water and wastewater services in the UK, primarily through South West Water and other subsidiaries.
"
PNL,Personal Assets Ord,N/A,$1.6B,"Personal Assets Trust PLC aims to protect and increase shareholders' funds over the long term by investing in equities, fixed income, cash, and gold.
"
PHLL,Petershill Partners Ord,N/A,$2.9B,"Petershill Partners is a global alternatives investment group making minority investments in private equity and other private capital firms.
"
PETS,Pets at Home Group Plc,Consumer Cyclical,$1.0B,"Pets at Home Group Plc is a UK-based pet care business offering pet food, accessories, grooming, and veterinary services through retail stores and online channels.
"
PTEC,Playtech plc,Consumer Cyclical,$2.3B,"Playtech plc provides software and services to the online gambling industry, offering platforms for online casinos, sports betting, and more.
"
PLUS,Plus500 Ltd.,Financial Services,$2.1B,"Plus500 is a global fintech group operating technology-based trading platforms, offering online trading services in CFDs, share dealing, and futures.
"
PCFT,Polar Capital Global Financials Ord,N/A,$624.6M,"Polar Capital Global Financials Trust invests in global financial sector companies, including banks, insurers, asset managers, and fintechs, aiming for income and capital growth.
"
POLN,Pollen Street Group Limited,Financial Services,$478.7M,"Pollen Street Group is a listed alternative asset manager focused on investments in the financial and business services sectors.
"
PPH,PPHE Hotel Group Limited,Consumer Cyclical,$574.6M,"PPHE Hotel Group is an international hospitality real estate company that owns, operates, develops, and franchises hotels and resorts primarily in Europe.
"
PFD,Premier Foods plc,Consumer Defensive,$1.6B,"Premier Foods plc is a UK-based food manufacturer producing and supplying a range of food products, including cooking sauces, desserts, and sweet treats, with well-known brands like Mr Kipling and Bisto.
"
PHP,Primary Health Properties Plc,Real Estate,$1.2B,"Primary Health Properties PLC is a UK-based real estate investment trust that invests in modern primary healthcare properties, leasing them to GPs, government healthcare bodies, and pharmacies in the UK and Ireland.
"
PRSR,PRS REIT Ord,N/A,$616.6M,"PRS REIT invests in newly constructed UK residential rental homes, targeting the family market, to provide investors with income and capital growth.
"
QQ,QinetiQ Group plc,Industrials,$2.0B,"QinetiQ Group plc is a global defense and security company providing technology and services primarily in the defense, security, and critical national infrastructure markets.
"
QLT,Quilter plc,Financial Services,$2.2B,"Quilter plc is a UK-based wealth management company providing financial advice, investment platforms, and investment management services.
"
RPI,Raspberry Pi Holdings plc,Technology,$1.4B,"Raspberry Pi Holdings plc designs and manufactures single-board computers (SBCs) and compute modules for industrial IoT, embedded uses, education, and enthusiasts.
"
RAT,Rathbones Group Plc,Financial Services,$1.8B,"Rathbones Group Plc is a UK-based firm providing investment and wealth management services to private clients, charities, trustees, and professional partners.
"
RWI,Renewi plc,Industrials,$639.7M,"Renewi plc is a waste-to-product company focused on extracting value from waste and used materials through recycling and treatment services, primarily in the Benelux region.
"
RSW,Renishaw plc,Technology,$2.6B,"Renishaw PLC is a UK-based engineering company that designs, manufactures, and sells high-precision metrology and healthcare systems.
"
RHIM,RHI Magnesita N.V.,Industrials,$1.7B,"RHI Magnesita N.V. is a global supplier of refractory products, systems, and services essential for high-temperature industrial processes.
"
RCP,RIT Capital Partners Ord,N/A,$2.8B,"RIT Capital Partners is a large British investment trust that invests in quoted securities and special situations, aiming to grow shareholders' wealth through a diversified, global portfolio.
"
ROR,Rotork plc,Industrials,$2.9B,"Rotork plc is a UK-based company that designs and manufactures industrial flow control equipment, including actuators and related products, for various markets like oil & gas, water, and power.
"
RS1,RS Group plc,Industrials,$3.1B,"RS Group plc is a global distributor of industrial and electrical products and service solutions, offering over 600,000 products to over 1 million customers.
"
RICA,Ruffer Investment Company Ord,N/A,$910.1M,"Ruffer Investment Company is a British investment company focused on investments in internationally listed equities and related securities, aiming for positive annual returns and capital preservation.
"
SAFE,Safestore Holdings Plc,Real Estate,$1.3B,"Safestore Holdings PLC is the UK's largest self-storage company, providing storage solutions for personal and business customers in the UK, Paris, and other European locations, and also sells insurance and merchandise.
"
SVS,Savills plc,Real Estate,$1.5B,"Savills plc is a global real estate services provider offering advisory, management, and transactional services across various property segments.
"
SDP,Schroder AsiaPacific Ord,N/A,$765.8M,"Schroder AsiaPacific Ord is a UK-based investment trust focused on achieving capital growth by investing in equities of companies located in Asia (excluding the Middle East and Japan) and countries bordering the Pacific Ocean.
"
SOI,Schroder Oriental Income Ord,N/A,$644.9M,"Schroder Oriental Income Ord aims to provide total return by investing in Asia Pacific (including Australia and New Zealand) companies with attractive yields and growing dividends.
"
SAIN,Scottish American Ord,N/A,$918.6M,"Scottish American Ord is a UK-based investment trust aiming to grow dividends faster than inflation through global equities, bonds, property, and other assets.
"
SEIT,SDCL Energy Efficiency Income Ord,N/A,$579.7M,"SDCL Energy Efficiency Income Trust (SEEIT) invests in energy efficiency projects, providing decentralized energy services directly to end users, aiming for stable income, capital preservation, and growth.
"
SNR,Senior plc,Industrials,$663.6M,"Senior plc designs and manufactures high-technology components and systems for the aerospace, defense, land vehicle, and power & energy markets.
"
SEQI,Sequoia Economic Infrastructure Inc Ord,N/A,$1.2B,"Sequoia Economic Infrastructure Income Fund invests in a diversified portfolio of senior and subordinated economic infrastructure debt instruments.
"
SRP,Serco Group plc,Industrials,$1.6B,"Serco Group plc is a British multinational company providing public services in defense, justice, immigration, transport, health, and citizen sectors.
"
SHC,Shaftesbury Capital PLC,Real Estate,$2.2B,"Shaftesbury Capital PLC is a UK REIT investing in London's West End properties, including shops, restaurants, offices, and residential spaces in areas like Covent Garden and Soho.
"
SRE,Sirius Real Estate Limited,Real Estate,$1.2B,"Sirius Real Estate Limited is a property company that owns and operates branded business and industrial parks providing conventional space and flexible workspace in Germany and the United Kingdom.
"
SSON,Smithson Investment Trust Ord,N/A,$2.0B,"Smithson Investment Trust invests in shares of small and mid-sized listed companies globally, aiming for long-term growth.
"
SCT,Softcat plc,Technology,$3.2B,"Softcat plc is a UK-based IT infrastructure and services provider, offering solutions like software licensing, workplace technology, and cloud services to businesses and public sector organizations.
"
SXS,Spectris plc,Technology,$3.0B,"Spectris plc provides high-tech instruments, test equipment, and software for technically demanding industrial applications, offering precision measurement solutions.
"
SPI,Spire Healthcare Group plc,Healthcare,$927.4M,"Spire Healthcare Group plc owns and operates private hospitals and clinics in the UK, providing a range of integrated surgical, medical, and diagnostic healthcare services.
"
SPT,Spirent Communications plc,Technology,$1.1B,"Spirent Communications provides automated test and assurance solutions for networks, cybersecurity, and positioning technologies like 5G and the Internet of Things.
"
SSPG,SSP Group plc,Consumer Cyclical,$1.5B,"SSP Group plc operates food and beverage outlets in travel locations like airports and train stations worldwide.
"
STEM,SThree plc,Industrials,$345.2M,"SThree plc is a global specialist talent partner focused on providing permanent and flexible contract talent for roles in Science, Technology, Engineering and Mathematics (STEM).
"
SUPR,Supermarket Income REIT Ord,N/A,$885.4M,"Supermarket Income REIT invests in omnichannel supermarket properties in the UK, focusing on stores that serve both in-person and online shoppers, and aims to provide shareholders with income and capital growth.
"
SYNC,Syncona Ord,N/A,$580.2M,"Syncona Ord is a FTSE250 company that founds, builds, and funds healthcare companies to deliver transformational treatments.
"
THRL,Target Healthcare REIT Ord,N/A,$544.8M,"Target Healthcare REIT is a UK-based real estate investment trust that invests in a diversified portfolio of freehold and long leasehold care homes and other healthcare assets, letting them to care home operators.
"
TATE,Tate & Lyle plc,Consumer Defensive,$2.9B,"Tate & Lyle is a global provider of specialty food and beverage solutions, offering ingredients like sweeteners, texturants, and fiber enrichments.
"
TBCG,TBC Bank Group PLC,Financial Services,$1.9B,"TBC Bank Group PLC is a UK-based parent company of JSC TBC Bank, a leading universal banking group in Georgia, and also provides digital financial services in Uzbekistan.
"
TEP,Telecom Plus Plc,Utilities,$1.4B,"Telecom Plus Plc is a UK-based multi-utility provider offering bundled household services like energy, broadband, mobile, and insurance under the Utility Warehouse brand.
"
TMPL,Temple Bar Ord,N/A,$812.2M,"Temple Bar Ord is a UK-based investment company focused on providing investors with growing income and capital growth through investments primarily in UK equities, particularly FTSE 350 companies.
"
TEM,Templeton Emerging Mkts Invmt Tr TEMIT,N/A,$1.8B,"Templeton Emerging Markets Investment Trust (TEMIT) aims to achieve long-term capital growth by investing in emerging market companies or those with significant emerging market revenues.
"
TRIG,Renewables Infrastructure Grp,N/A,$2.0B,"The Renewables Infrastructure Group (TRIG) invests in operational assets that generate electricity from renewable sources like wind farms and solar parks, primarily in the UK and Europe.
"
TIFS,TI Fluid Systems plc,Consumer Cyclical,$959.4M,"TI Fluid Systems develops, manufactures, and supplies automotive fluid storage, carrying, delivery, and thermal management systems for all vehicle types.
"
TCAP,TP ICAP Group PLC,Financial Services,$2.0B,"TP ICAP Group PLC is a UK-based liquidity and data solutions company, providing intermediary services and data-led solutions across financial, energy, and commodities markets.
"
TRN,Trainline Plc,Consumer Cyclical,$1.6B,"Trainline Plc is a UK-based independent rail and coach travel platform, selling tickets worldwide.
"
TPK,Travis Perkins plc,Industrials,$1.5B,"Travis Perkins plc is a UK-based distributor of building materials and home improvement products, also offering tool hire services.
"
BBOX,Tritax Big Box Ord,N/A,$3.8B,"Tritax Big Box REIT is a British real estate investment trust (REIT) that invests in large distribution centers and warehouse properties crucial for the UK supply chain.
"
TRY,TR Property Ord,N/A,$990.4M,"TR Property invests in property companies, property-related businesses, and UK investment property, primarily across the UK and Europe.
"
TRST,Trustpilot Group plc,Technology,$1.5B,"Trustpilot Group plc operates a global online platform where consumers can review businesses and businesses can improve their service.
"
TFIF,TwentyFour Income Ord,N/A,$814.3M,"TwentyFour Income Fund is a London-listed investment company that invests in less liquid, higher-yielding UK and European asset-backed securities, aiming for attractive risk-adjusted returns through income distribution.
"
SHED,Urban Logistics REIT Ord,N/A,$520.4M,"Urban Logistics REIT is a UK property investment company focusing on strategically located, single-let logistics properties, particularly ""last mile"" assets, that support the distribution of essential goods.
"
VSVS,Vesuvius plc,Basic Materials,$1.0B,"Vesuvius plc is a UK-based company providing molten metal flow engineering and technology, serving industries like steel, foundries, glass, and solar energy.
"
VCT,Victrex plc,Basic Materials,$876.5M,"Victrex plc is a UK-based company that manufactures and sells high-performance polymers, predominantly PEEK, serving diverse industries like aerospace, medical, and automotive.
"
VEIL,Vietnam Enterprise Ord,N/A,$1.1B,"Vietnam Enterprise Investments Ltd (VEIL) is a closed-ended equity mutual fund that primarily invests in listed and pre-IPO companies in Vietnam.
"
VOF,VinaCapital Vietnam Opp Fund Ord,N/A,$658.9M,"VinaCapital Vietnam Opp Fund Ord aims for medium to long-term returns by investing in Vietnam-based assets or companies with a majority of their operations in Vietnam.
"
VTY,Vistry Group PLC,Consumer Cyclical,$2.0B,"Vistry Group PLC is a UK-based company focused on developing mixed-tenure homes and communities, operating through brands like Bovis Homes and Countryside Partnerships.
"
FAN,Volution Group plc,Industrials,$1.1B,"Volution Group plc is a leading supplier of ventilation products for residential and commercial buildings.
"
WPS,W.A.G payment solutions plc,Technology,$499.6M,"W.A.G Payment Solutions PLC (Eurowag) is a pan-European platform providing integrated payment and mobility solutions for the commercial road transport industry, including energy, toll payments, and related services.
"
WOSG,Watches of Switzerland Group PLC,Consumer Cyclical,$1.3B,"Watches of Switzerland Group PLC is an international retailer of luxury watches and jewelry, operating under brands like Watches of Switzerland, Mappin & Webb, and Goldsmiths.
"
JDW,J D Wetherspoon plc,Consumer Cyclical,$702.6M,"J D Wetherspoon plc owns and operates pubs and hotels throughout the United Kingdom and Ireland.
"
SMWH,WH Smith PLC,Consumer Cyclical,$1.6B,"WH Smith PLC is a global retailer of news, books, and convenience products, operating through Travel and High Street divisions.
"
WIZZ,Wizz Air Holdings Plc,Industrials,$1.4B,"Wizz Air Holdings Plc is a Hungary-based airline providing low-cost passenger air transportation services on short-haul and medium-haul routes across Europe, the Caucasus, the Middle East, North Africa, and North-West Asia.
"
WG,John Wood Group PLC,Energy,$485.0M,"John Wood Group PLC is a global consulting and engineering company providing project, engineering, and technical services across various industries.
"
WKP,Workspace Group Plc,Real Estate,$913.4M,"Workspace Group PLC is a REIT that acquires, designs, develops, and owns office buildings, leasing workspace to small and medium-sized enterprises in London.
"
WWH,Worldwide Healthcare Ord,N/A,$1.7B,"Worldwide Healthcare Ord is an investment trust focused on achieving capital growth by investing in the global healthcare sector, including pharmaceutical and biotechnology companies.
"
XPS,XPS Pensions Group plc,Consumer Cyclical,$733.7M,"XPS Pensions Group PLC is a UK-based pensions consulting and administration business, providing services to over 1,400 pension schemes.
"
ZIG,Zigup Plc,Industrials,$699.9M,"Zigup Plc is an integrated mobility solutions platform offering vehicle rental, fleet management, accident management, and repair services across the UK, Ireland, and Spain.
"
