,Company Name,Sector,Market Cap,Summary,Price,Change_percent
BYIT,Bytes Technology Group plc,Technology,$1.1B,"Bytes Technology Group PLC is a UK-based IT company that provides software, security, and cloud solutions to both public and private sectors.
",470.2,1.56
BRBY,Burberry Group plc,Consumer Cyclical,$4.4B,"Burberry Group plc is a UK-based global luxury goods company that manufactures, retails, wholesales, and licenses apparel and accessories under the Burberry brand.
",1229.5,1.57
JAM,JPMorgan American Ord,,$2.1B,"JPMorgan American Ord aims to achieve capital growth from North American investments by outperforming the S&P 500 index, investing predominantly in quoted companies.
",1166.0,1.57
BOY,Bodycote plc,Industrials,$1.2B,"Bodycote PLC is a global provider of heat treatment and thermal processing services that improve the properties of metals and alloys.
",640.0,1.59
HFG,Hilton Food Group plc,Consumer Defensive,$795.9M,"Hilton Food Group PLC is a specialist international food packing business that supplies meat, seafood, vegan, and vegetarian products to retailers.
",887.0,1.6
ASHM,Ashmore Group Plc,Financial Services,$1.1B,"Ashmore Group PLC is a UK-based investment manager specializing in emerging markets, managing assets across various investment themes.
",174.3,1.63
GRG,Greggs plc,Consumer Cyclical,$2.2B,"Greggs plc is a UK-based food-on-the-go retailer and bakery chain, offering a variety of fresh bakery goods, sandwiches, and drinks.
",2172.0,1.69
SHED,Urban Logistics REIT Ord,,$520.4M,"Urban Logistics REIT is a UK property investment company focusing on strategically located, single-let logistics properties, particularly ""last mile"" assets, that support the distribution of essential goods.
",110.65,1.7
RS1,RS Group plc,Industrials,$3.1B,"RS Group plc is a global distributor of industrial and electrical products and service solutions, offering over 600,000 products to over 1 million customers.
",644.0,1.74
PHP,Primary Health Properties Plc,Real Estate,$1.2B,"Primary Health Properties PLC is a UK-based real estate investment trust that invests in modern primary healthcare properties, leasing them to GPs, government healthcare bodies, and pharmacies in the UK and Ireland.
",93.6,1.74
AGR,Assura Plc,Real Estate,$1.2B,"Assura PLC is a UK-based healthcare property investor and developer, specialising in primary care buildings.
",38.3,1.75
MAB,Mitchells & Butlers plc,Consumer Cyclical,$1.4B,"Mitchells & Butlers plc operates a wide range of pubs, bars, and restaurants across the UK and Germany.
",232.5,1.75
JMAT,Johnson Matthey Plc,Basic Materials,$2.4B,"Johnson Matthey is a specialty chemicals and sustainable technologies company focused on transforming energy, reducing emissions, and advanced metals chemistry.
",1441.0,1.77
FCSS,Fidelity China Special Ord,,$1.2B,"Fidelity China Special Ord is a UK investment company aiming for long-term capital growth by investing in securities of Chinese companies, both listed and unlisted, and those with significant Chinese interests.
",234.07,1.77
BWY,Bellway p.l.c.,Consumer Cyclical,$3.2B,"Bellway p.l.c. is a UK-based home construction company that builds and sells homes, from apartments to family homes, and provides social housing.
",2707.0,1.77
CRST,Crest Nicholson Holdings plc,Consumer Cyclical,$443.7M,"Crest Nicholson Holdings plc is a UK-based residential housebuilder focused on creating well-designed, high-quality homes.
",177.0,1.78
RCP,RIT Capital Partners Ord,,$2.8B,"RIT Capital Partners is a large British investment trust that invests in quoted securities and special situations, aiming to grow shareholders' wealth through a diversified, global portfolio.
",2003.47,1.8
BPT,Bridgepoint Group plc,Financial Services,$3.1B,"Bridgepoint Group plc is a UK-based private equity and credit fund manager focused on investing in middle-market businesses.
",384.2,1.8
SHC,Shaftesbury Capital PLC,Real Estate,$2.2B,"Shaftesbury Capital PLC is a UK REIT investing in London's West End properties, including shops, restaurants, offices, and residential spaces in areas like Covent Garden and Soho.
",124.0,1.81
AML,Aston Martin Lagonda Global Holdings plc,Consumer Cyclical,$982.7M,"Aston Martin Lagonda Global Holdings plc designs, develops, manufactures, and markets luxury vehicles and related parts, offering servicing and consulting.
",106.0,1.83
PAGE,PageGroup plc,Industrials,$1.1B,"PageGroup plc is a UK-based recruitment consultancy offering services and career opportunities through brands like Michael Page and Page Executive.
",333.6,1.83
BGEO,Bank of Georgia Group PLC,Financial Services,$2.0B,"Bank of Georgia Group PLC is a UK-based holding company providing banking and financial services in Georgia and Armenia through its subsidiaries.
",4705.0,1.84
BAKK,Bakkavor Group plc,Consumer Defensive,$790.8M,"Bakkavor Group plc is a UK-based provider of fresh prepared foods (FPF) like meals, breads, soups, and salads, with operations in the UK, US, and China.
",137.5,1.85
PETS,Pets at Home Group Plc,Consumer Cyclical,$1.0B,"Pets at Home Group Plc is a UK-based pet care business offering pet food, accessories, grooming, and veterinary services through retail stores and online channels.
",229.2,1.87
PFD,Premier Foods plc,Consumer Defensive,$1.6B,"Premier Foods plc is a UK-based food manufacturer producing and supplying a range of food products, including cooking sauces, desserts, and sweet treats, with well-known brands like Mr Kipling and Bisto.
",191.55,1.89
USA,Baillie Gifford US Growth Ord,,$761.3M,"Baillie Gifford US Growth Ord is a UK investment company focused on achieving long-term capital growth by investing in listed and unlisted US companies with high growth potential.
",267.5,1.91
TEP,Telecom Plus Plc,Utilities,$1.4B,"Telecom Plus Plc is a UK-based multi-utility provider offering bundled household services like energy, broadband, mobile, and insurance under the Utility Warehouse brand.
",1720.47,1.92
CCR,C&C Group plc,Consumer Defensive,$549.7M,"C&C Group plc is a premium drinks company that manufactures, markets, and distributes branded beer, cider, wine, spirits, and soft drinks across the UK and Ireland, with a presence in Europe, Asia-Pacific, North America, and Australia.
",147.6,1.93
CHRY,Chrysalis Investments Limited Ord,,$579.3M,"Chrysalis Investments is a Guernsey-based investment company focused on generating long-term capital growth by investing in equity or equity-related investments in both unquoted and listed companies.
",104.21,1.97
INVP,Investec Group,Financial Services,$3.3B,"Investec Group is an Anglo-South African international banking and wealth management group providing financial products and services in Europe, Southern Africa, and Asia-Pacific.
",518.5,1.97
THRL,Target Healthcare REIT Ord,,$544.8M,"Target Healthcare REIT is a UK-based real estate investment trust that invests in a diversified portfolio of freehold and long leasehold care homes and other healthcare assets, letting them to care home operators.
",87.5,1.98
ENOG,Energean plc,Energy,$1.8B,"Energean plc is an exploration and production company focused on natural gas in the Mediterranean and UK North Sea.
",994.5,2.0
ALPH,Alpha Group International plc,Financial Services,$1.1B,"Alpha Group International PLC is a UK-based financial services business providing FX risk management and alternative banking solutions to international corporates and institutions.
",2530.0,2.02
IBST,Ibstock plc,Basic Materials,$673.8M,"Ibstock plc manufactures and supplies clay bricks and concrete products to the UK construction industry.
",171.2,2.03
PNN,Pennon Group Plc,Utilities,$2.2B,"Pennon Group PLC is an environmental infrastructure company providing clean water and wastewater services in the UK, primarily through South West Water and other subsidiaries.
",469.4,2.04
BREE,Breedon Group plc,Basic Materials,$1.5B,"Breedon Group PLC supplies the construction industry with essential materials like aggregates, asphalt, ready-mix concrete, and cement in Great Britain, Ireland, and the USA.
",446.0,2.06
SSPG,SSP Group plc,Consumer Cyclical,$1.5B,"SSP Group plc operates food and beverage outlets in travel locations like airports and train stations worldwide.
",182.1,2.07
KLR,Keller Group plc,Industrials,$987.2M,"Keller Group PLC is a geotechnical specialist contractor providing advanced foundation and ground improvement techniques across the construction sector.
",1376.0,2.08
KIE,Kier Group plc,Industrials,$678.2M,"Kier Group PLC is a British infrastructure, construction, services, and property group.
",154.8,2.11
SRE,Sirius Real Estate Limited,Real Estate,$1.2B,"Sirius Real Estate Limited is a property company that owns and operates branded business and industrial parks providing conventional space and flexible workspace in Germany and the United Kingdom.
",79.35,2.12
WKP,Workspace Group Plc,Real Estate,$913.4M,"Workspace Group PLC is a REIT that acquires, designs, develops, and owns office buildings, leasing workspace to small and medium-sized enterprises in London.
",479.5,2.13
JTC,JTC PLC,Financial Services,$1.6B,"JTC PLC is a global professional services business providing fund, corporate, and private client services to institutional and private clients.
",989.0,2.17
STEM,SThree plc,Industrials,$345.2M,"SThree plc is a global specialist talent partner focused on providing permanent and flexible contract talent for roles in Science, Technology, Engineering and Mathematics (STEM).
",256.5,2.19
MGNS,Morgan Sindall Group plc,Industrials,$1.7B,"Morgan Sindall Group PLC is a UK-based construction and regeneration company operating in both the public and commercial sectors through six divisions.
",3720.0,2.2
SUPR,Supermarket Income REIT Ord,,$885.4M,"Supermarket Income REIT invests in omnichannel supermarket properties in the UK, focusing on stores that serve both in-person and online shoppers, and aims to provide shareholders with income and capital growth.
",69.41,2.22
FGEN,Foresight Environmental Infra Ord,,$433.5M,"Foresight Environmental Infrastructure (formerly JLEN) invests in diversified environmental infrastructure assets that support decarbonization, resource efficiency, and environmental sustainability while aiming for financial returns.
",67.57,2.23
BUT,Brunner Ord,,$619.1M,"Brunner Ord is a UK-based investment company aiming for long-term growth in capital and dividends by investing in a global portfolio of equities.
",1426.44,2.25
JUP,Jupiter Fund Management Plc,Financial Services,$412.5M,"Jupiter Fund Management is a UK-based asset manager providing equity and bond investments for private and institutional clients through various funds and mandates.
",80.6,2.28
RPI,Raspberry Pi Holdings plc,Technology,$1.4B,"Raspberry Pi Holdings plc designs and manufactures single-board computers (SBCs) and compute modules for industrial IoT, embedded uses, education, and enthusiasts.
",757.35,2.28
BRWM,BlackRock World Mining Trust Ord,,$965.7M,"BlackRock World Mining Trust aims to provide a diversified investment in mining and metal assets worldwide, actively managed to maximize total returns, including royalties and physical metals.
",506.2,2.37
ABDN,abrdn plc,Financial Services,$2.8B,"abrdn plc is a global investment company managing investments and providing financial planning solutions through its Investments, Adviser, and Interactive Investor segments.
",157.76,2.44
RHIM,RHI Magnesita N.V.,Industrials,$1.7B,"RHI Magnesita N.V. is a global supplier of refractory products, systems, and services essential for high-temperature industrial processes.
",3615.0,2.55
LRE,Lancashire Holdings Limited,Financial Services,$1.6B,"Lancashire Holdings Ltd is a global specialty insurance and reinsurance provider with operations in London, Bermuda, the U.S. and Australia.
",644.0,2.55
3IN,3i Infrastructure Ord,,$3.0B,"3i Infrastructure is a listed investment company that invests in infrastructure businesses, mainly in Europe and Asia, focusing on utilities, transportation and social infrastructure.
",324.17,2.59
FSFL,Foresight Solar Ord,,$413.0M,"Foresight Solar Fund invests in ground-based solar power plants and battery storage assets, primarily in the UK, aiming to provide sustainable returns and facilitate the transition to a lower carbon economy.
",72.9,2.68
GEN,Genuit Group plc,Industrials,$971.8M,"Genuit Group plc provides sustainable water, climate, and ventilation solutions for the built environment, helping customers adapt to climate change and meet sustainability targets.
",394.0,2.74
KNOS,Kainos Group plc,Technology,$1.0B,"Kainos Group PLC is a UK-based IT provider offering digital and Workday services and solutions to public, commercial, and healthcare sectors.
",821.0,2.75
TRIG,Renewables Infrastructure Grp,,$2.0B,"The Renewables Infrastructure Group (TRIG) invests in operational assets that generate electricity from renewable sources like wind farms and solar parks, primarily in the UK and Europe.
",81.5,2.77
JUST,Just Group plc,Financial Services,$1.7B,"Just Group plc is a UK-based financial services company focused on the retirement income market, offering retirement-focused solutions and insurance products.
",165.4,2.86
MOON,Moonpig Group PLC,Consumer Cyclical,$775.4M,"Moonpig Group PLC is a UK-based online greeting card and gifting platform with brands like Moonpig, Red Letter Days, Buyagift, and Greetz.
",230.0,2.91
NESF,NextEnergy Solar Ord,,$401.6M,"NextEnergy Solar Fund is a specialist investment company focused on solar energy and energy storage assets, primarily utility-scale, and is listed on the London Stock Exchange.
",68.0,3.03
OSB,OSB Group Plc,Financial Services,$1.5B,"OSB Group PLC is a UK-based specialist mortgage lender focused on selected sub-segments of the UK mortgage market, operating through OneSavings Bank and Charter Court Financial Services.
",421.6,3.08
TBCG,TBC Bank Group PLC,Financial Services,$1.9B,"TBC Bank Group PLC is a UK-based parent company of JSC TBC Bank, a leading universal banking group in Georgia, and also provides digital financial services in Uzbekistan.
",3489.5,3.24
VTY,Vistry Group PLC,Consumer Cyclical,$2.0B,"Vistry Group PLC is a UK-based company focused on developing mixed-tenure homes and communities, operating through brands like Bovis Homes and Countryside Partnerships.
",614.0,3.54
GDWN,Goodwin PLC,Industrials,$549.7M,"Goodwin PLC is a mechanical and refractory engineering company specializing in design, manufacture, and supply of related products and solutions.
",7480.0,3.6
WG,John Wood Group PLC,Energy,$485.0M,"John Wood Group PLC is a global consulting and engineering company providing project, engineering, and technical services across various industries.
",70.75,3.66
TPK,Travis Perkins plc,Industrials,$1.5B,"Travis Perkins plc is a UK-based distributor of building materials and home improvement products, also offering tool hire services.
",713.0,4.16
CAML,Central Asia Metals plc,Basic Materials,$276.6M,"Central Asia Metals plc is a base metals producer with copper operations in Kazakhstan, and zinc and lead mine in North Macedonia.
",159.0,4.47
OCDO,Ocado Group plc,Consumer Defensive,$2.7B,"Ocado Group plc is a technology company focused on redefining e-commerce, fulfillment, and logistics, particularly in online grocery, through its proprietary Ocado Smart Platform.
",326.12,4.86
HICL,HICL Infrastructure PLC Ord,,$2.4B,"HICL Infrastructure PLC is a UK-based investment company focused on long-term infrastructure assets, aiming to provide sustainable income and capital growth.
",118.64,5.55
INPP,International Public Partnerships Ord,,$2.3B,"International Public Partnerships invests in public and social infrastructure assets globally, including the UK, Europe, Australia, and North America.
",121.92,6.58
BAB,Babcock International Group PLC,Industrials,$3.0B,"Babcock International Group PLC is a British engineering company specializing in defence, aerospace, and nuclear engineering, providing support services and managing complex assets.
",592.35,9.19
WIZZ,Wizz Air Holdings Plc,Industrials,$1.4B,"Wizz Air Holdings Plc is a Hungary-based airline providing low-cost passenger air transportation services on short-haul and medium-haul routes across Europe, the Caucasus, the Middle East, North Africa, and North-West Asia.
",1400.8,10.21
GNC,Greencore Group plc,Consumer Defensive,$928.8M,"Greencore Group plc is a UK-based convenience food manufacturer, supplying chilled and frozen foods like sandwiches, salads, and ready meals to major retailers.
",203.36,11.13
BBGI,BBGI Global Infrastructure Ord,,$1.0B,"BBGI Global Infrastructure invests in operational public-private partnership infrastructure assets, delivering long-term, sustainable returns and serving a social purpose.
",142.0,16.58
FXPO,Ferrexpo plc,Basic Materials,$538.9M,"Ferrexpo plc is a Swiss-based commodity trading and mining company, and the third largest exporter of iron ore pellets in the world, with operations based in central Ukraine.
",86.5,17.53
